borough ,latitude,longitude 
Bickley,51.40174,0.043712
Biggin Hill,51.331959,0.029057
Bromley Common & Keston,51.375875,0.043819
Bromley Town,51.402805,0.014814
Chelsfield & Pratts Bottom,51.357943,0.127288
Chislehurst,51.411572,0.076955
Copers Cope,51.419348,-0.031502
Cray Valley East,51.401639,0.020742
Crystal Palace,51.419366,-0.071133
Darwin,51.331449,0.053387
Farnborough & Croftton,51.359528,0.067694
Hayes & Coney Hall,51.367211,0.005948
Kelsey & Eden Park,51.400661,-0.015477
Mottingham & Chislehurst North,51.425513,0.052632
Orpington,51.3746,0.0978
Penge & Cator,51.415205,-0.053734
Petts Wood & Knoll,51.38637,0.06475
Plaistow & Sunbridge ,51.4198,0.0148
Shortlangs ,51.406614,-0.001689
West Wickham ,51.3667,-0.0167
