wards,latitude,longitude 
Bethnal Green,51.526962,-0.06674
Blaskwall and Cubitt Town,51.495182,-0.009826
Bow East,51.528309,-0.019482
Bow West,51.528309,-0.019482
Bromley North,51.408426,0.017042
Bromley South ,51.400057,0.017524
Canary Wharf,51.505219,-0.0189
Island Gardens ,51.487061,-0.007988
Lansbury,51.513294,-0.027155
Limehouse ,51.513307,-0.035149
Mill End,51.513029,-0.1374
Poplar,51.511181,-0.014388
Shadwell,51.51125,-0.056924
Spitalfields and Banglatown,51.520385,-0.070197
St Dunstan's,51.431023,-0.02337
St Katharine's and Wapping ,51.523449,-0.028169
Stepney Green,51.519523,-0.047296
Weavers,51.520821,-0.056456
Whitechapel,51.518623,-0.062081
